subj,meanFD,medianFD,maxFD,total_outliers,perc_out,time_lost_min
sub-1191,0.207066957978807,0.161272525,0.96721304,18,3.7344398340249,0.6
sub-1192,0.197943694358436,0.191511800000002,1.2861272,10,2.0746887966805,0.333333333333333
sub-1194,0.197485222983128,0.1148945975,3.9364663,29,6.01659751037344,0.966666666666667
sub-1197,0.107591225148066,0.0879230074999975,0.7257575,2,0.4149377593361,0.0666666666666667
sub-1195,0.0809637144846472,0.0624138650000001,0.7277549,3,0.622406639004149,0.1
sub-1201,0.235420792816805,0.2093621,1.20088942,20,4.149377593361,0.666666666666667
sub-1202,0.229767755000788,0.193962905,1.4923287,21,4.35684647302905,0.7
sub-1204,0.0939517858755186,0.0726563875,1.094564,4,0.829875518672199,0.133333333333333
sub-1208,0.21090245446473,0.1532118,2.164623,35,7.26141078838174,1.16666666666667
sub-1209,0.138028941542863,0.125500915,0.66608317,3,0.622406639004149,0.1
sub-1210,0.126722978744813,0.111118445,0.7991894,5,1.03734439834025,0.166666666666667
sub-1211,0.187148926959854,0.15372515,2.4515852925,11,2.28215767634855,0.366666666666667
sub-1215,0.102398277796058,0.0820548475,1.0081295,1,0.20746887966805,0.0333333333333333
sub-1216,0.144502719045643,0.11350085,1.26638815,5,1.03734439834025,0.166666666666667
sub-1219,0.26387078563278,0.192635215,4.96698585,34,7.05394190871369,1.13333333333333
sub-1221,0.132210504117801,0.0956057859999999,0.88830209,15,3.11203319502075,0.5
sub-1222,0.102879086152509,0.06642438,1.7327163,12,2.4896265560166,0.4
sub-1228,0.191043186204149,0.15309923875,1.94055842,24,4.9792531120332,0.8
sub-1229,0.338215385826763,0.249470130999997,7.04115515,95,19.7095435684647,3.16666666666667
sub-1230,0.0594996348672198,0.052369235,0.301059829999995,0,0,0
sub-1231,0.224287806790456,0.0983521499999999,7.14789655,36,7.46887966804979,1.2
sub-1302,0.0808936437131534,0.0718551955000024,0.4052909,0,0,0
sub-1305,0.0909495003106349,0.0822828199999999,0.2684148,0,0,0
sub-1306,0.121722258278008,0.11218531,0.3431298,0,0,0
sub-1308,0.136577472700913,0.110139875,0.56839205,3,0.622406639004149,0.1
sub-1309,0.0898210753109789,0.0801277774999999,0.5239961,1,0.20746887966805,0.0333333333333333
sub-1310,0.0979979176465188,0.09085494625,0.36072392,0,0,0
sub-1311,0.105151460591701,0.07786904,1.0283931,5,1.03734439834025,0.166666666666667
sub-1313,0.0994038382410372,0.093083545,0.459801,0,0,0
sub-1315,0.0841377239109957,0.08109476,0.22128226,0,0,0
sub-1316,0.0657832016197303,0.0634902026999999,0.175177,0,0,0
sub-1317,0.163296390823651,0.114531819999998,1.3609933,22,4.5643153526971,0.733333333333333
sub-1318,0.214566528774398,0.209852774999997,0.38528825,0,0,0
sub-1319,0.0640516125477178,0.0572762499999999,0.415123,0,0,0
sub-1320,0.146460614377178,0.132728975,0.6492488,2,0.4149377593361,0.0666666666666667
sub-1321,0.10576187948606,0.09448013075,1.8393142715,2,0.4149377593361,0.0666666666666667
sub-1322,0.126806795043029,0.11481556,0.4777938,0,0,0
sub-1323,0.188281375008299,0.13617937,1.92723335,25,5.18672199170125,0.833333333333333
sub-1325,0.0539777027389501,0.04799016155,0.56316315,1,0.20746887966805,0.0333333333333333
sub-1327,0.209334146317842,0.164807517249997,2.16415045,22,4.5643153526971,0.733333333333333
sub-1328,0.100456602882573,0.0966961855,0.31098642,0,0,0
sub-1330,0.117306328994606,0.11058067,0.3264854,0,0,0
sub-1331,0.20916590385166,0.158217425,3.03292535,23,4.77178423236515,0.766666666666667
sub-1332,0.167914679873651,0.1442272,1.90631113000001,6,1.2448132780083,0.2
sub-1333,0.118485812900415,0.1167830625,0.341935699999995,0,0,0
sub-1334,0.0897919937210372,0.0867445699999999,0.21879239,0,0,0
sub-1335,0.0861904670429047,0.080421606,0.282779800000005,0,0,0
